Timestamp,Hostname,Message
02.28.1993 06:55:24.274 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:25.278 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:26.280 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:27.282 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:28.284 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:29.292 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:30.295 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:31.296 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:32.296 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:33.296 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:34.297 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:35.299 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:36.303 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:37.306 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:38.309 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:39.314 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:40.313 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:41.328 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:42.329 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:43.329 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:44.343 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:45.364 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:46.382 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:47.406 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:48.408 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:49.456 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:50.470 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:51.481 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
02.28.1993 06:55:52.485 PM,192.168.1.1, %IPS-4-SIGNATURE: Sig:2004 Subsig:0 Sev:25  [192.168.30.3 -> 192.168.1.5:0] RiskRating:25
